# Parameters:
# init_model_file = saved_models/state_dict__2022_01_21__04_38_12__best_49.pth
# data_dir = ../data
# train_dataset_file = ../dataset/train_filelist.txt
# val_dataset_file = ../dataset/train_filelist.txt
# test_dataset_file = ../dataset/test_filelist.txt
# train_val_split_ratio = 0.7
# dataset_type = test
# num_classes = 2
# num_hidden_nodes1 = 64
# num_hidden_nodes2 = 64
# data_length = 5
# sampling_frequency = 40000
# use_zero_vectors = True
# batch_size = 32
# test_metrics_dir = test_metrics
# point_id	truth	pred	prob_0	prob_1
0	0	0	0.9997	0.0003
1	0	0	0.9997	0.0003
2	0	0	0.9997	0.0003
3	0	0	0.9997	0.0003
4	0	0	0.9997	0.0003
5	0	0	0.9997	0.0003
6	0	0	0.9997	0.0003
7	0	0	0.9997	0.0003
8	0	0	0.9997	0.0003
9	0	0	0.9997	0.0003
10	0	0	0.9997	0.0003
11	0	0	0.9997	0.0003
12	0	0	0.9997	0.0003
13	0	0	0.9997	0.0003
14	0	0	0.9997	0.0003
15	0	0	0.9997	0.0003
16	0	0	0.9997	0.0003
17	0	0	0.9997	0.0003
18	0	0	0.9997	0.0003
19	0	0	0.9997	0.0003
20	0	0	0.9997	0.0003
21	0	0	0.9997	0.0003
22	0	0	0.9997	0.0003
23	0	0	0.9997	0.0003
24	0	0	0.9997	0.0003
25	0	0	0.9997	0.0003
26	0	0	0.9997	0.0003
27	0	0	0.9997	0.0003
28	0	0	0.9997	0.0003
29	0	0	0.9997	0.0003
30	0	0	0.9997	0.0003
31	0	0	0.9997	0.0003
32	0	0	0.9997	0.0003
33	0	0	0.9997	0.0003
34	0	0	0.9997	0.0003
35	0	0	0.9997	0.0003
36	0	0	0.9997	0.0003
37	0	0	0.9997	0.0003
38	0	0	0.9997	0.0003
39	0	0	0.9997	0.0003
40	0	0	0.9997	0.0003
41	0	0	0.9997	0.0003
42	0	0	0.9997	0.0003
43	0	0	0.9997	0.0003
44	0	0	0.9997	0.0003
45	0	0	0.9997	0.0003
46	0	0	0.9997	0.0003
47	0	0	0.9997	0.0003
48	0	0	0.9997	0.0003
49	0	0	0.9997	0.0003
50	0	0	0.9997	0.0003
51	0	0	0.9997	0.0003
52	0	0	0.9997	0.0003
53	0	0	0.9997	0.0003
54	0	0	0.9997	0.0003
55	0	0	0.9997	0.0003
56	0	0	0.9997	0.0003
57	0	0	0.9997	0.0003
58	0	0	0.9997	0.0003
59	0	0	0.9997	0.0003
60	0	0	0.9997	0.0003
61	0	0	0.9997	0.0003
62	0	0	0.9997	0.0003
63	0	0	0.9997	0.0003
64	0	0	0.9997	0.0003
65	0	0	0.9997	0.0003
66	0	0	0.9997	0.0003
67	0	0	0.9997	0.0003
68	0	0	0.9997	0.0003
69	0	0	0.9997	0.0003
70	0	0	0.9997	0.0003
71	0	0	0.9997	0.0003
72	0	0	0.9997	0.0003
73	0	0	0.9997	0.0003
74	0	0	0.9996	0.0004
75	0	0	0.9996	0.0004
76	0	0	0.9996	0.0004
77	0	0	0.9996	0.0004
78	0	0	0.9996	0.0004
79	0	0	0.9996	0.0004
80	0	0	0.9996	0.0004
81	0	0	0.9996	0.0004
82	0	0	0.9996	0.0004
83	0	0	0.9996	0.0004
