# Parameters:
# init_model_file = saved_models/state_dict__2022_05_20__10_28_58__best_43.pth
# data_dir = ../data
# train_dataset_file = ../dataset/train_filelist.txt
# val_dataset_file = ../dataset/train_filelist.txt
# test_dataset_file = ../dataset/test_filelist.txt
# train_val_split_ratio = 0.7
# dataset_type = test
# num_classes = 2
# num_hidden_nodes1 = 64
# num_hidden_nodes2 = 64
# data_length = 5
# sampling_frequency = 40000
# use_zero_vectors = True
# batch_size = 32
# test_metrics_dir = test_metrics
# point_id	truth	pred	prob_0	prob_1
0	0	0	1.0000	0.0000
1	0	0	1.0000	0.0000
2	0	0	1.0000	0.0000
3	0	0	1.0000	0.0000
4	0	0	1.0000	0.0000
5	0	0	1.0000	0.0000
6	0	0	1.0000	0.0000
7	0	0	1.0000	0.0000
8	0	0	1.0000	0.0000
9	0	0	1.0000	0.0000
10	0	0	1.0000	0.0000
11	0	0	1.0000	0.0000
12	0	0	1.0000	0.0000
13	0	0	1.0000	0.0000
14	0	0	1.0000	0.0000
15	0	0	1.0000	0.0000
16	0	0	1.0000	0.0000
17	0	0	1.0000	0.0000
18	0	0	1.0000	0.0000
19	0	0	1.0000	0.0000
20	0	0	1.0000	0.0000
21	0	0	1.0000	0.0000
22	0	0	1.0000	0.0000
23	0	0	1.0000	0.0000
24	0	0	1.0000	0.0000
25	0	0	1.0000	0.0000
26	0	0	1.0000	0.0000
27	0	0	1.0000	0.0000
28	0	0	1.0000	0.0000
29	0	0	1.0000	0.0000
30	0	0	1.0000	0.0000
31	0	0	1.0000	0.0000
32	0	0	1.0000	0.0000
33	0	0	1.0000	0.0000
34	0	0	1.0000	0.0000
35	0	0	1.0000	0.0000
36	0	0	1.0000	0.0000
37	0	0	1.0000	0.0000
38	0	0	1.0000	0.0000
39	0	0	1.0000	0.0000
40	0	0	1.0000	0.0000
41	0	0	1.0000	0.0000
42	0	0	1.0000	0.0000
43	0	0	1.0000	0.0000
44	0	0	1.0000	0.0000
45	0	0	1.0000	0.0000
46	0	0	1.0000	0.0000
47	0	0	1.0000	0.0000
48	0	0	1.0000	0.0000
49	0	0	1.0000	0.0000
50	0	0	1.0000	0.0000
51	0	0	1.0000	0.0000
52	0	0	1.0000	0.0000
53	0	0	1.0000	0.0000
54	0	0	1.0000	0.0000
55	0	0	1.0000	0.0000
56	0	0	1.0000	0.0000
57	0	0	1.0000	0.0000
58	0	0	1.0000	0.0000
59	0	0	1.0000	0.0000
60	0	0	1.0000	0.0000
61	0	0	1.0000	0.0000
62	0	0	1.0000	0.0000
63	0	0	1.0000	0.0000
64	0	0	1.0000	0.0000
65	0	0	1.0000	0.0000
66	0	0	1.0000	0.0000
67	0	0	1.0000	0.0000
68	0	0	1.0000	0.0000
69	0	0	1.0000	0.0000
70	0	0	1.0000	0.0000
71	0	0	1.0000	0.0000
72	0	0	1.0000	0.0000
73	0	0	1.0000	0.0000
74	0	0	1.0000	0.0000
75	0	0	1.0000	0.0000
76	0	0	1.0000	0.0000
77	0	0	1.0000	0.0000
78	0	0	1.0000	0.0000
79	0	0	1.0000	0.0000
80	0	0	1.0000	0.0000
81	0	0	1.0000	0.0000
82	0	0	1.0000	0.0000
83	0	0	1.0000	0.0000
84	0	0	1.0000	0.0000
85	0	0	1.0000	0.0000
86	0	0	1.0000	0.0000
87	0	0	1.0000	0.0000
88	0	0	1.0000	0.0000
89	0	0	1.0000	0.0000
90	0	0	1.0000	0.0000
91	0	0	1.0000	0.0000
92	0	0	1.0000	0.0000
93	0	0	1.0000	0.0000
94	0	0	1.0000	0.0000
95	0	0	1.0000	0.0000
96	0	0	1.0000	0.0000
97	0	0	1.0000	0.0000
98	0	0	1.0000	0.0000
99	0	0	1.0000	0.0000
100	0	0	1.0000	0.0000
101	0	0	1.0000	0.0000
102	0	0	1.0000	0.0000
103	0	0	1.0000	0.0000
104	0	0	1.0000	0.0000
105	0	0	1.0000	0.0000
106	0	0	1.0000	0.0000
107	0	0	1.0000	0.0000
108	0	0	1.0000	0.0000
109	0	0	1.0000	0.0000
110	0	0	1.0000	0.0000
111	0	0	1.0000	0.0000
112	0	0	1.0000	0.0000
113	0	0	1.0000	0.0000
114	0	0	1.0000	0.0000
115	0	0	1.0000	0.0000
116	0	0	1.0000	0.0000
117	0	0	0.9999	0.0001
118	0	0	0.9999	0.0001
119	0	0	0.9999	0.0001
120	0	0	0.9999	0.0001
121	0	0	0.9999	0.0001
122	0	0	0.9999	0.0001
123	0	0	0.9999	0.0001
124	0	0	0.9999	0.0001
125	0	0	0.9999	0.0001
126	0	0	0.9999	0.0001
127	0	0	0.9999	0.0001
128	0	0	0.9999	0.0001
129	0	0	0.9999	0.0001
130	0	0	0.9999	0.0001
131	0	0	0.9999	0.0001
132	0	0	1.0000	0.0000
133	0	0	1.0000	0.0000
134	0	0	1.0000	0.0000
135	0	0	1.0000	0.0000
136	0	0	1.0000	0.0000
137	0	0	1.0000	0.0000
138	0	0	1.0000	0.0000
139	0	0	1.0000	0.0000
140	0	0	1.0000	0.0000
141	0	0	1.0000	0.0000
142	0	0	1.0000	0.0000
143	0	0	1.0000	0.0000
144	0	0	1.0000	0.0000
145	0	0	1.0000	0.0000
146	0	0	1.0000	0.0000
147	0	0	1.0000	0.0000
148	0	0	1.0000	0.0000
149	0	0	1.0000	0.0000
150	0	0	1.0000	0.0000
151	0	0	1.0000	0.0000
152	0	0	1.0000	0.0000
153	0	0	1.0000	0.0000
154	0	0	1.0000	0.0000
155	0	0	1.0000	0.0000
156	0	0	1.0000	0.0000
157	0	0	1.0000	0.0000
158	0	0	1.0000	0.0000
159	0	0	1.0000	0.0000
160	0	0	1.0000	0.0000
161	0	0	1.0000	0.0000
162	0	0	1.0000	0.0000
163	0	0	1.0000	0.0000
164	0	0	1.0000	0.0000
165	0	0	1.0000	0.0000
166	0	0	1.0000	0.0000
167	0	0	1.0000	0.0000
168	0	0	1.0000	0.0000
169	0	0	1.0000	0.0000
170	0	0	1.0000	0.0000
171	0	0	1.0000	0.0000
172	0	0	1.0000	0.0000
173	0	0	1.0000	0.0000
174	0	0	1.0000	0.0000
175	0	0	1.0000	0.0000
176	0	0	1.0000	0.0000
177	0	0	1.0000	0.0000
178	0	0	1.0000	0.0000
179	0	0	1.0000	0.0000
180	0	0	1.0000	0.0000
181	0	0	1.0000	0.0000
182	0	0	1.0000	0.0000
183	0	0	1.0000	0.0000
184	0	0	1.0000	0.0000
185	0	0	1.0000	0.0000
186	0	0	1.0000	0.0000
187	0	0	1.0000	0.0000
188	0	0	1.0000	0.0000
189	0	0	1.0000	0.0000
190	0	0	1.0000	0.0000
191	0	0	1.0000	0.0000
192	0	0	1.0000	0.0000
193	0	0	1.0000	0.0000
194	0	0	1.0000	0.0000
